num_doc_cli,cod_tipo_doc_cli,cod_ejec_bco,num_doc_gte_inv,cod_gte_inv
8820082579507158589,1,6344868514723184360,1872056861363575577,8648915042775491028
6045345175987984743,1,5945352153868098639,6267087304981669273,3068611274367202794
3574806793569344764,3,5974410167509349267,1263041317332062711,5233438259559169896
7644293141260277027,1,5985397267437162561,1980704618275534174,7848047449742946354
8424815851303745138,3,8528780454862973557,7827484768931659151,3527339400366339877
4709613439731332790,3,8528780454862973557,7827484768931659151,3527339400366339877
5157718792818422586,1,5998479985144842298,6924170661612155956,8665025414122498329
3341788118243936387,1,6007456679960581933,1980704618275534174,7848047449742946354
4275932258778426959,3,2402039944651109890,1263041317332062711,5233438259559169896
4007539482997972798,3,2402039944651109890,1263041317332062711,5233438259559169896
24829592174040799,3,2402039944651109890,1263041317332062711,5233438259559169896
6739302330866740434,3,2402039944651109890,1263041317332062711,5233438259559169896
4781656040568679867,3,2402039944651109890,1263041317332062711,5233438259559169896
1929069001031915774,1,2402039944651109890,1263041317332062711,5233438259559169896
2681670814042931756,3,2402039944651109890,1263041317332062711,5233438259559169896
5618573851118906726,1,2402039944651109890,1263041317332062711,5233438259559169896
8251279009104227358,3,2399129842831203606,1263041317332062711,5233438259559169896
8046164926884245960,3,2399129842831203606,1263041317332062711,5233438259559169896
5625076411101530427,3,2399129842831203606,1263041317332062711,5233438259559169896
3403419901025953445,3,2399129842831203606,1263041317332062711,5233438259559169896
8329637824328578878,3,2399129842831203606,1263041317332062711,5233438259559169896
7489422303617449692,3,2399129842831203606,1263041317332062711,5233438259559169896
1100209036740880543,3,2399129842831203606,1263041317332062711,5233438259559169896
3236067081663561689,3,2399129842831203606,1263041317332062711,5233438259559169896
8475952380596819638,3,2399129842831203606,1263041317332062711,5233438259559169896
4335776554154564709,3,2399129842831203606,1263041317332062711,5233438259559169896
711682012949105250,3,2399129842831203606,1263041317332062711,5233438259559169896
1081998817657538710,3,2399129842831203606,1263041317332062711,5233438259559169896
7318855328748011928,3,2399129842831203606,1263041317332062711,5233438259559169896
1997071512816726586,3,2399129842831203606,1263041317332062711,5233438259559169896
158403904997202892,3,2399129842831203606,1263041317332062711,5233438259559169896
3404948285138173031,3,2399129842831203606,1263041317332062711,5233438259559169896
7840628680782997194,3,2399129842831203606,1263041317332062711,5233438259559169896
4557626234083140302,3,2399129842831203606,1263041317332062711,5233438259559169896
7403238419222510492,3,2399129842831203606,1263041317332062711,5233438259559169896
8614948689837946975,3,2399129842831203606,1263041317332062711,5233438259559169896
6587183259033089593,3,2399129842831203606,1263041317332062711,5233438259559169896
5073852072765445570,1,2399129842831203606,1263041317332062711,5233438259559169896
4934631503399502673,3,2399129842831203606,1263041317332062711,5233438259559169896
1135960077661816476,3,2399129842831203606,1263041317332062711,5233438259559169896
1733163970982238396,3,2399129842831203606,1263041317332062711,5233438259559169896
6381628328584614424,3,2399129842831203606,1263041317332062711,5233438259559169896
5717848351890918731,3,2399129842831203606,1263041317332062711,5233438259559169896
4849666382492696215,3,2399129842831203606,1263041317332062711,5233438259559169896
3551782737555959516,3,2399129842831203606,1263041317332062711,5233438259559169896
5388077061109463341,3,2399129842831203606,1263041317332062711,5233438259559169896
4083169577305609538,3,2399129842831203606,1263041317332062711,5233438259559169896
3389193634872695759,3,2399129842831203606,1263041317332062711,5233438259559169896
8109114387653524781,3,2399129842831203606,1263041317332062711,5233438259559169896
445633769162774023,3,2399129842831203606,1263041317332062711,5233438259559169896
6882794171519282699,3,2399129842831203606,1263041317332062711,5233438259559169896
